id;name;user_id;neighbourhood;apart_type_id;price;minimum_nights
912617;Habitacion Reservada Madrid;4897332;Concepción;2;110;7
913536;Bedroom with bathroom in Malasaña;4903694;Universidad;2;35;1
914057;Hoy Puede Ser Un Gran Día!!;4905854;Palomeras Sureste;2;21;1
919430;ROOM IN MALASAÑA, IN CENTER OF MADRID;850654;Universidad;2;19;4
922397;Estudio de diseño en el centro;4651429;Goya;1;60;2
923140;PENTHOUSE with Lovely Terrace;1574604;Universidad;1;130;3
923645;MADRID CENTER RETIRO PARKING +WIFI;4967875;Ibiza;1;94;2
925250;CoV19 Free Chic & Sunny Apt. Historic District-Sol;4975799;Sol;2;48;1
925339;CENTER just WALK & ENJOY LastMinute;4977367;Universidad;1;50;30
926653;MORATÍN - Cozy upscale apt museum mile AC;2864064;Cortes;1;64;1
930032;Zonamuseos. Loft luminoso y alegre;5009131;Embajadores;1;65;3
933326;Agreeable flat with a centric location in Atocha;153695733;Palos de Moguer;1;100;2
936157;Amazing apartment at Plaza Oriente;5052379;Palacio;1;129;3
938410;Elegant apartment in the best area;9228673;Recoletos;1;262;5
938506;Deluxe 2 bedroom ap,up to 8 people;785052;Cortes;1;45;30
940649;Spacious Apartment-Atocha-Prado;5084073;Palos de Moguer;1;70;5
944555;NEW STUDIO MADRID CITY CENTER SOL;5114074;Sol;1;76;3
945003;HABITACIONES CÉNTRICAS EN MALASAÑA;850654;Universidad;2;40;4
947169;Lovely apartment in Madrid, Puerta Cerrada Square;5132742;Embajadores;1;68;4
948963;Sun+Balcon+Light+Relax+Green24hWIFI;2783896;Puerta del Angel;2;21;2
958020;SPRING SALES AT Madrid Malasaña;5211661;Universidad;1;81;7
970485;Puerta Alcala-5.2sqf 4-6 Dec availa;5302455;Jerónimos;1;350;5
970890;Madrid by day & by night;6363695;Universidad;3;39;3
977261;habitación en el Centro de Madrid!;5347216;Embajadores;2;22;1
979312;Habitacion Madrid Centro (Chamberi);5360317;Arapiles;2;35;1
981016;Bright Spacious Family Apartment;534128;Universidad;1;102;1
981368;Modern Quiet Studio Loft;534128;Trafalgar;1;32;1
981369;Big and Nice apartment with 2 Bedroom& 2 Bathrooms;534128;Trafalgar;1;92;1
983019;Room in pretty home Santa Rosa Street Madrid;5386601;Numancia;2;32;4
