id;name;user_id
1050948;400+ great reviews CAN´T be wrong. Superb location;5785483
1052457;BEDROOM LOOKING ONTO A NICE PATIO;5795235
1053180;Cozy flat in the heart of Madrid;5798033
1053662;Private room in Madrid;5801580
1055724;Habitación en piso con encanto barrio Chambéry;5814460
1056151;AN ART DESIGNED IN MADRID HEART;571765
1057560;BRIGHT APARTMENT IN THE CENTER -SOL;5824815
1059084;Unbeatable location, high ceilings,;5831420
1065075;DOUBLE ROOM IN NICE AND SUNNY APART;5735364
1065714;APARTMENT 4PAX 2ROOM GRAN VIA CENTRO PUERTA SOL;5542111
1065918;APARTMENT4PAX CENTRO GRAN VIA PUERTA SOL MALASAÑA;5542111
1067941;Flat Nuevo.Metro 90 seconds. Bedroom.Private bath;5876034
1069174;Top Location :Thyssen & Prado !;5896428
1075749;Place&Price:Amazing Location,70m2,2rooms,Wifi,XBOX;5918751
1075890;Gran apartamento completo en centro, Madrid;5918969
1079119;MADRID SUNNY APARTMENT CITYCENTER;19639638
1079722;Golden Mile. Best Location. Single bed 5★ reviews;5785483
1082218;Peaceful apartment in Malasaña;5950981
1082942;Architect's Gem w/ Green Patio & Free TrainTicket*;2228918
1085217;Relaxing double room in Chueca;3612732
1085898;2flats ideally located! Flat X:4pax;2044655
1086124;2flats ideally located! Flat Y:4pax;2044655
1087049;2flats idealy located! FlatsX + Y:8pax;2044655
1090988;400+ great reviews cannot be wrong. Best location;5785483
1091639;double bedroom with private bathroom;5997842
1092967;Acogedor estudio abuhardillado en La Latina;993166
1101760;GREAT ATTIC-BARRIO DE LAS LETRA;2847013
1105481;room at home in the centre of mad;5967533
1106495;Luminosa Buhardilla Gran Via -Wifi-;6075016
1112289;SUNNY ROOM wiht WIFI;6104199
1113817;Buhardilla-Studio in Chueca, Madrid;6112385
1114960;THE COOL MADRID | CITY CENTRE - WIFI / AirCo;6119221
1120286;CENTRALLY LOCATED ROOM 10 MIN SOL 6;6146479
1126038;central & bright 14mt2 room;6191568
1128626;Bonito estudio en lavapies-wifi.a/c;6191686
1130775;Very well located small studio in Madrid;1450378
1130788;Newly Renovated Apartment in Madrid;1450378
1133140;2 bedroom attic in Madrid center;641820
1146228;Apartamento en corrala;6284655
1152744;Double room with private bathroom;897250
1153128;Chamberi : Genuine Madrid | Hab 1;6319722
1159972;Paseo del Prado Apartments by Allô Housing;4599639
1160005;Hipster Studios in Anton Martin by Allô Housing;4599639
1161437;Room Mate Madrid - Luxury living in Madrid center, 2GB | SUPERIOR ROOM;547389
1162707;NICE & BIG DOUBLE ROOM AT DOWNTOWN;1706029
1168731;Nice Penthouse 10´ Madrid Center;1703448
1174292;Room for rent for days, weeks;6427023
1176241;LUXURY FLAT IN FRONT OF THE PRADO;6436336
1177790;Sol/Gran Vía. Lo más céntrico de Madrid.;6443996
1182242;FAMILY FRIENDLY: crib, highchair / Early Check In;6466920
1184735;LUXURY APARTMENT/Privileged location;3983613
1186878;Chambre d'hòtes au Centre de MADRID;6490189
1198047;LIGHT, AIRY IN THE CENTER + WIFI AND A/C;5795235
1206122;MADRID CENTER WIFI-PARKING+TERRACE;4967875
1209383;Penthouse with terrace in Atocha;4790263
1209661;Central Family Apartment with Carpark on Premises;3331390
1214008;Double RoomWIFI near Atocha Station;4440463
1220946;Best Deal BRIGHT PICASSO SUITE SOL;6566447
1227155;Plaza Mayor big room with balcony;6693661
1230412;Beautiful and well illuminated atti;6711092
1230570;Cool apartment in trendy Chueca;6598518
